Context,Question,Label
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",বাংলাদেশ কত সালে বিশ্বকাপ আয়োজন করে?,প্রাসঙ্গিক
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",নেপালে কবে ওলিম্পিক্স অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",বাংলাদেশ কত তম বিশ্বকাপ আয়োজন করে?,প্রাসঙ্গিক
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",ভারত কবে ওলিম্পিক্স অনুষ্ঠিত করে?,অপ্রাসঙ্গিক
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",এগারোতম বিশ্বকাপ কত সালে অনুষ্ঠিত হয়?,প্রাসঙ্গিক
" ২০১১ সালে বাংলাদেশ, ভারত ও শ্রীলংকা যৌথভাবে আয়োজন করে দশম বিশ্বকাপ ক্রিকেটের আসর। এ আসরে ভারত চ্যাম্পিয়ন হয়। ২০১৫ সালে যৌথভাবে অস্ট্রেলিয়া ও নিউজিল্যান্ড এগারোতম বিশ্বকাপ আয়োজন করে। দুই স্বাগতিক দলের মধ্যে অনুষ্ঠিত হয় ফাইনাল ম্যাচ এবং এতে অস্ট্রেলিয়া জয়লাভ করে চ্যম্পিয়ন হয়।",কত সালে এগারোতম ওলিম্পিক্স অনুষ্ঠিত হয়?,অপ্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।,শেখ মুজিবর রহমান কত সালে জন্মগ্রহন করেন?,প্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।,শেখ হাসিনা কত সালে জন্মগ্রহন করেন?,অপ্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।,শেখ মুজিবর রহমান কোন জেলায় জন্মগ্রহন করেন?,প্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।,বিশ্বকবি জন্মগ্রহন কোন জেলায় করেন?,অপ্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।8,শেখ মুজিবর রহমান কোন মাসে জন্মগ্রহন করেন?,প্রাসঙ্গিক
বাংলাদেশের অবিসংবাদিত নেতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯২০ সালের ১৭ই মার্চের এক শুভক্ষণে গোপালগঞ্জ(সাবেক ফরিদপুর)জেলার টুঙ্গিপাড়ায় জন্মগ্রহন করেন।8,ডোনাল্ড ট্রাম্প কোথায় থাকেন?,অপ্রাসঙ্গিক
বঙ্গবন্ধুর পিতা ছিলেন শেখ লুৎফর রহমান। মাতা ছিলেন সায়েরা খাতুন।,বঙ্গবন্ধুর পিতার নাম কি ছিল?,প্রাসঙ্গিক
বঙ্গবন্ধুর পিতা ছিলেন শেখ লুৎফর রহমান। মাতা ছিলেন সায়েরা খাতুন।,ট্রাম্পের পিতার নাম কী ছিল? ,অপ্রাসঙ্গিক
বঙ্গবন্ধুর পিতা ছিলেন শেখ লুৎফর রহমান। মাতা ছিলেন সায়েরা খাতুন।,বঙ্গবন্ধুর মাতার নাম কি?,প্রাসঙ্গিক
বঙ্গবন্ধুর পিতা ছিলেন শেখ লুৎফর রহমান। মাতা ছিলেন সায়েরা খাতুন।,ট্রাম্পের মাতার নাম কী?,অপ্রাসঙ্গিক
প্রচলিত ইসলামিক ধারণা মতে মুহাম্মদ জন্মগ্রহণ করেন ৫৭০ খ্রিস্টাব্দের ২৯শে আগস্ট। বর্তমান সৌদি আরবে অবস্থিত মক্কা নগরীর কুরাইশ বংশের বনু হাশিম গোত্রে তার জন্ম হয়। তার পিতা আব্দুল্লাহ ইবনে আব্দুল মুত্তালিব মুহাম্মদের জন্মের ছয় মাস পূর্বে মারা যান এবং মা আমিনা তার ছয় বছর বয়সে আরওয়া নামক স্থানে মৃত্যুবরণ করেন। জন্মের পর নবীর সম্পূর্ণ নাম ছিল মুহাম্মদ ইবনে আব্দুল্লাহ ইবনে আব্দুল মুত্তালিব ইবনে হাশিম।,প্রচলিত ইসলামিক ধারণা মতে মুহাম্মদ জন্মগ্রহণ করেন কত খ্রিস্টাব্দে?,প্রাসঙ্গিক
প্রচলিত ইসলামিক ধারণা মতে মুহাম্মদ জন্মগ্রহণ করেন ৫৭০ খ্রিস্টাব্দের ২৯শে আগস্ট। বর্তমান সৌদি আরবে অবস্থিত মক্কা নগরীর কুরাইশ বংশের বনু হাশিম গোত্রে তার জন্ম হয়। তার পিতা আব্দুল্লাহ ইবনে আব্দুল মুত্তালিব মুহাম্মদের জন্মের ছয় মাস পূর্বে মারা যান এবং মা আমিনা তার ছয় বছর বয়সে আরওয়া নামক স্থানে মৃত্যুবরণ করেন। জন্মের পর নবীর সম্পূর্ণ নাম ছিল মুহাম্মদ ইবনে আব্দুল্লাহ ইবনে আব্দুল মুত্তালিব ইবনে হাশিম।,যীশু কত সালে জন্মগ্রহন করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,জগদীশ চন্দ্র বসু কত সালে জন্ম গ্রহন করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,মাদার তেরেসা কত সালে জন্মগ্রহন করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,জগদীশ চন্দ্র বসু কোন জেলায় জন্মগ্রহন করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,তেরেসা কোথায় জন্মগ্রহণ করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,জগদীশ চন্দ্র বসুর আদি বাসস্থান কোথায় ছিল?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসুর জন্ম ১৮৫৮ সালের ৩০শে নভেম্বর ময়মনসিংহে। তাঁর পরিবারের আদি বাসস্থান ছিল ঢাকা থেকে প্রায় ৫০ কিলোমিটার দূরে বিক্রমপুরের রাঢ়িখালে।,ঢাকার আদি নাম কি ছিল?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,জগদীশ চন্দ্র বসু  শিক্ষা জীবন কোন জেলায় শুরু করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,বিশ্বকবি জন্মগ্রহন কোন জেলায় করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন,জগদীশ চন্দ্র বসু কত বছর বয়সে কলকাতা যান?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন,বঙ্গবন্ধুর বয়স কত ছিল?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,জগদীশ চন্দ্র বসু কত সালে এন্ট্রাস পাশ করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,কাজী নজরুল ইসলাম কত সালে স্কুল পাশ করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,জগদীশ চন্দ্র বসু কোন স্কুল থেকে এন্ট্রাস পাশ করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু তাঁর শিক্ষাজীবন শুরু করেছিলেন ফরিদপুরের একটি স্কুল থেকে। এরপর ১১ বছর বয়সে তিনি কলকাতা চলে যান এবং সেখানে সেন্ট জেভিয়ার্স স্কুল অ্যান্ড কলেজ থেকে ১৮৭৫ সালে এন্ট্রাস পাশ করেন।,কাজী নজরুল ইসলাম কোন স্কুল থেকে পাশ করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন তিনি ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,জগদীশ চন্দ্র বসু কোন বিষয়ে স্নাতক করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন তিনি ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,মাইকেল মধুসূদন কোন বিষয়ে স্নাতক করেন?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,জগদীশ চন্দ্র বসু উচ্চশিক্ষার জন্য কোন দেশে যান?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,কে উচ্চশিক্ষার জন্য চায়না যান?,অপ্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,জগদীশ চন্দ্র বসু কোন বিশ্ববিদ্যালয় থেকে বি.এ. পাশ করেন?,প্রাসঙ্গিক
জগদীশ চন্দ্র বসু বিজ্ঞানের স্নাতক হন ১৮৭৯ সালে এবং এরপর উচ্চশিক্ষার জন্য চলে যান ইংল্যাণ্ডে। ইংল্যাণ্ডের কেম্ব্রিজ বিশ্ববিদ্যালয় থেকে প্রাকৃতিক বিজ্ঞান বিষয়ে বি.এ. পাশ করেন। ১৮৮৪ সালে লণ্ডন বিশ্ববিদ্যালয় থেকে বি.এস.সি. ডিগ্রি লাভ করেন।,নিকোলাস টেসলা কোন বিশ্ববিদ্যালয় থেকে পাশ করেন?,অপ্রাসঙ্গিক
"বর্তমানে কম্পিউটার মানবজীবনের অনেক কাজে ব্যবহৃত হচ্ছে। আর্থিক প্রতিষ্ঠানগুলোর আয়-ব্যয়ের হিসাব, পরিসংখ্যান, বিনিয়োগ তথ্য, পণ্য বাজারজাত করা ইত্যাদি করতে কম্পিউটারের ব্যবহার হচ্ছে। চলচ্চিত্র নির্মাণ, ভিডিও এনিমেশন তৈরি, ঘরে বসে পড়াশোনা করা, ইন্টারনেটের মাধ্যমে তথ্য সংগ্রহ সব কিছুতেই প্রয়োজন কম্পিউটার। ঘর, উড়োজাহাজ, ডুবোজাহাজসহ বড় বড় বাসের নকশা ইত্যাদি কম্পিউটারের মাধ্যমে তৈরি হচ্ছে। পৃথিবীর বড় বড় শহরের ট্রাফিক-ব্যবস্থা নিয়ন্ত্রণ করছে কম্পিউটার। মহাকাশ গবেষণা, পদার্থবিজ্ঞান গবেষণা, গাণিতিক গবেষণা, চিকিৎসা ও জেনেটিক গবেষণা, পারমাণবিক চুল্লি ইত্যাদি সুপার কম্পিউটারের সাহায্যে নিয়ন্ত্রিত হচ্ছে।",বর্তমানে কি মানবজীবনের অনেক কাজে ব্যবহৃত হচ্ছে?,প্রাসঙ্গিক
